Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.01672137599962298,-7.000000000000001,192.0,9.0,0.1,1
1.0,1.0,5.186784374000126,-4.999999999999999,391.0,9.0,0.7,1
1.0,4.0,9.690116206000312,7.000000000000001,52.0,8.000000000000002,0.4,2
1.0,4.0,14.210044174000359,7.000000000000001,329.0,8.000000000000002,0.5,2
1.0,4.0,18.738909461999356,4.999999999999999,291.0,8.000000000000002,0.6,1
1.0,1.0,23.29085506699994,-4.999999999999999,336.0,8.000000000000002,0.2,2
1.0,1.0,27.738980431999153,4.999999999999999,339.0,6.0,0.3,1
1.0,1.0,32.22699316899889,-7.000000000000001,115.0,8.000000000000002,0.1,1
1.0,4.0,36.73949501199968,7.000000000000001,150.0,9.0,0.7,2
1.0,4.0,41.33114003599985,4.999999999999999,25.0,6.0,0.4,2
1.0,4.0,45.88979869200011,-7.000000000000001,300.0,9.0,0.5,1
1.0,4.0,51.050116188000175,7.000000000000001,33.0,8.000000000000002,0.6,2
1.0,1.0,55.68144772300002,4.999999999999999,231.0,6.0,0.2,2
1.0,1.0,61.20936307199918,7.000000000000001,130.0,8.000000000000002,0.3,1
1.0,1.0,66.18649299000026,-4.999999999999999,313.0,8.000000000000002,0.1,1
1.0,4.0,70.8588760040002,7.000000000000001,425.0,6.0,0.7,2
1.0,2.0,75.36410253599934,-7.000000000000001,45.0,8.000000000000002,0.4,1
1.0,4.0,79.8501568669999,-7.000000000000001,59.0,8.000000000000002,0.5,1
1.0,4.0,84.45939948500018,4.999999999999999,413.0,8.000000000000002,0.6,2
1.0,1.0,89.29128604399921,-4.999999999999999,240.0,7.000000000000001,0.2,1
