Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.027668188995448872,0.0,0.0,-7.000000000000001,387.0,6.0,0.3,right
1.0,4.0,4.102689687002567,5.021960958998534,5.039765528999851,-7.000000000000001,201.0,8.000000000000002,0.5,left
1.0,4.0,8.178418818992213,9.057605558002251,9.06153242700384,-7.000000000000001,361.0,7.000000000000001,0.7,left
0.0,,12.294218522991287,0.0,0.0,-7.000000000000001,424.0,8.000000000000002,0.1,left
0.0,,16.404876330998377,0.0,0.0,4.999999999999999,95.0,9.0,0.4,left
1.0,4.0,20.541772315002163,21.45700655100518,21.46591740200529,7.000000000000001,408.0,7.000000000000001,0.6,right
0.0,,24.58579912999994,0.0,0.0,-4.999999999999999,388.0,6.0,0.2,right
0.0,,28.683369164995383,0.0,0.0,-4.999999999999999,26.0,9.0,0.3,right
1.0,4.0,32.78392514499137,33.91247377399122,33.9186682629952,7.000000000000001,234.0,6.0,0.5,right
1.0,4.0,36.86145108299388,37.658748770001694,37.67505592999805,-4.999999999999999,191.0,8.000000000000002,0.7,left
0.0,,40.97293828299735,0.0,0.0,7.000000000000001,379.0,8.000000000000002,0.1,left
1.0,4.0,45.120758107994334,45.934792749991175,45.95277099899249,7.000000000000001,67.0,9.0,0.4,right
1.0,4.0,49.187767807001364,50.1012259269919,50.11484142500558,7.000000000000001,215.0,7.000000000000001,0.6,right
0.0,,53.27218543400522,0.0,0.0,4.999999999999999,424.0,7.000000000000001,0.2,right
0.0,,57.33701168799598,0.0,0.0,7.000000000000001,326.0,8.000000000000002,0.3,right
