Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.03120845099329017,0.0,0.0,4.999999999999999,313.0,7.000000000000001,0.1,left
1.0,4.0,4.134230891999323,5.092361354996683,5.1122916559979785,4.999999999999999,141.0,6.0,0.4,right
0.0,,8.200654269996448,0.0,0.0,4.999999999999999,67.0,8.000000000000002,0.3,right
1.0,4.0,12.290986611988046,13.241932826000266,13.251388788994518,7.000000000000001,247.0,7.000000000000001,0.7,right
0.0,,16.383444442995824,0.0,0.0,-7.000000000000001,22.0,9.0,0.2,right
1.0,3.0,20.487433011992835,21.631012628989993,21.637436550998245,-4.999999999999999,380.0,6.0,0.5,left
1.0,4.0,24.565933297999436,25.597808816994075,25.61287716899824,7.000000000000001,187.0,8.000000000000002,0.6,right
0.0,,28.61590465399786,0.0,0.0,4.999999999999999,232.0,8.000000000000002,0.1,right
0.0,,32.7324560929992,0.0,0.0,-7.000000000000001,98.0,7.000000000000001,0.4,right
0.0,,36.778817161990446,0.0,0.0,4.999999999999999,141.0,7.000000000000001,0.3,right
1.0,4.0,40.822519041990745,41.93224404999637,41.93741609099379,-7.000000000000001,247.0,7.000000000000001,0.7,right
0.0,,44.86984121899877,0.0,0.0,4.999999999999999,154.0,9.0,0.2,right
1.0,4.0,48.98820867399627,49.9677576039976,49.98758214600093,4.999999999999999,221.0,6.0,0.5,right
1.0,4.0,53.07307824199961,54.01150303399481,54.025405186999706,4.999999999999999,92.0,7.000000000000001,0.6,right
0.0,,57.126359911999316,0.0,0.0,-4.999999999999999,189.0,7.000000000000001,0.1,right
