Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
2.0,4.0,0.03378943600000639,-7.000000000000001,367.0,9.0,0.2,2
1.0,4.0,4.9101747990007425,-7.000000000000001,215.0,8.000000000000002,0.4,1
1.0,4.0,9.977080892000231,-7.000000000000001,8.0,9.0,0.6,1
1.0,4.0,15.06908048400146,7.000000000000001,368.0,8.000000000000002,0.7,2
2.0,4.0,20.14575436800078,4.999999999999999,193.0,7.000000000000001,0.3,2
2.0,4.0,25.125847556000735,-4.999999999999999,329.0,8.000000000000002,0.1,2
1.0,4.0,31.439625256,-7.000000000000001,321.0,8.000000000000002,0.5,1
2.0,4.0,36.39212166800098,-4.999999999999999,295.0,9.0,0.2,2
1.0,4.0,41.623448895001275,7.000000000000001,64.0,8.000000000000002,0.4,2
1.0,4.0,47.22180912500153,4.999999999999999,55.0,8.000000000000002,0.6,2
1.0,4.0,52.48035543300102,-4.999999999999999,77.0,9.0,0.7,2
1.0,3.0,57.564908932001345,-7.000000000000001,307.0,8.000000000000002,0.3,1
2.0,4.0,63.09434057399994,7.000000000000001,362.0,8.000000000000002,0.1,2
1.0,4.0,68.34585984600017,-4.999999999999999,10.0,6.0,0.5,1
2.0,4.0,73.40082383000117,-4.999999999999999,302.0,7.000000000000001,0.2,1
