Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.027543375006644055,0.0,0.0,-4.999999999999999,293.0,6.0,0.2,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
1.0,4.0,4.17778958400595,6.156401130006998,6.1636643079982605,4.999999999999999,264.0,8.000000000000002,0.6,right
0.0,,8.608831691002706,0.0,0.0,4.999999999999999,124.0,9.0,0.1,right
1.0,4.0,12.67696387101023,14.707446890010033,14.713081531997886,4.999999999999999,160.0,8.000000000000002,0.4,right
0.0,,16.909212393002235,0.0,0.0,-4.999999999999999,392.0,8.000000000000002,0.3,right
1.0,3.0,21.05191892699804,22.860919530008687,22.872606845005066,7.000000000000001,426.0,9.0,0.5,right
1.0,4.0,25.899003332000575,27.626572610999574,27.63187835700228,-7.000000000000001,183.0,9.0,0.7,left
0.0,,29.940889703007997,0.0,0.0,-7.000000000000001,148.0,8.000000000000002,0.2,left
1.0,4.0,34.043684845004464,35.08015295500809,35.092618146998575,7.000000000000001,148.0,9.0,0.6,right
0.0,,38.13141434099816,0.0,0.0,-7.000000000000001,70.0,7.000000000000001,0.1,right
1.0,4.0,42.23157575100777,43.3625039710023,43.37008066099952,-7.000000000000001,79.0,9.0,0.4,left
0.0,,46.32996128599916,0.0,0.0,4.999999999999999,226.0,7.000000000000001,0.3,left
1.0,4.0,50.48114331800025,51.4661944850086,51.471847473003436,-4.999999999999999,23.0,9.0,0.5,left
1.0,4.0,54.535877720001736,55.48790374600503,55.49195473900181,-4.999999999999999,43.0,7.000000000000001,0.7,left
0.0,,58.627010797004914,0.0,0.0,-4.999999999999999,160.0,9.0,0.2,left
