Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.024613950998173095,0.0,0.0,-7.000000000000001,285.0,9.0,0.5,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
0.0,,4.125569197989535,0.0,0.0,-4.999999999999999,375.0,7.000000000000001,0.2,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
0.0,,8.16906829099753,0.0,0.0,4.999999999999999,76.0,6.0,0.3,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]"
1.0,,12.298856515990337,15.475837521997164,15.484544250997715,4.999999999999999,51.0,8.000000000000002,0.1,nan
1.0,4.0,19.52549422199081,21.45542100199964,21.462835646991152,-7.000000000000001,384.0,6.0,0.6,nan
0.0,,25.46735508198617,0.0,0.0,-4.999999999999999,250.0,6.0,0.4,nan
1.0,4.0,29.563303504997748,31.05037991599238,31.060105953991297,-7.000000000000001,187.0,9.0,0.7,left
1.0,4.0,33.64252658699115,34.8200996999949,34.83197128699976,-4.999999999999999,21.0,6.0,0.5,left
0.0,,37.70890106698789,0.0,0.0,7.000000000000001,354.0,6.0,0.2,left
1.0,3.0,41.88893394698971,43.543324168989784,43.5487542339979,7.000000000000001,76.0,7.000000000000001,0.3,right
0.0,,45.93409732199507,0.0,0.0,-7.000000000000001,320.0,9.0,0.1,right
1.0,4.0,50.012005441996735,51.21336653699109,51.21755286799453,-4.999999999999999,22.0,7.000000000000001,0.6,left
1.0,4.0,54.04694087599637,55.38903740799287,55.399672315994394,4.999999999999999,132.0,7.000000000000001,0.4,right
1.0,4.0,58.10705014099949,59.4541168549913,59.45976810398861,4.999999999999999,172.0,8.000000000000002,0.7,right
1.0,4.0,62.20091038898681,63.21022339099727,63.215151712996885,4.999999999999999,51.0,9.0,0.5,right
