Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.02743255799578037,0.9987474679946899,1.0085405179997906,-4.999999999999999,416.0,6.0,0.4,left
1.0,4.0,4.070250238000881,5.144245174989919,5.157110667991219,7.000000000000001,3.0,8.000000000000002,0.7,right
1.0,4.0,8.171449553003185,8.97240897300071,8.985618275997695,-7.000000000000001,40.0,9.0,0.5,left
0.0,,12.268341426999541,0.0,0.0,-4.999999999999999,148.0,9.0,0.3,left
1.0,4.0,16.370248249993892,17.037405575989396,17.048171850998187,-4.999999999999999,101.0,6.0,0.6,left
0.0,,20.468441279997933,0.0,0.0,7.000000000000001,197.0,7.000000000000001,0.2,left
0.0,,24.536974565999117,0.0,0.0,-7.000000000000001,430.0,9.0,0.1,left
0.0,,28.596033276990056,0.0,0.0,-4.999999999999999,174.0,9.0,0.4,left
1.0,4.0,32.720087381996564,33.60752190499625,33.61304317798931,4.999999999999999,15.0,8.000000000000002,0.7,right
1.0,3.0,36.79343489999883,38.2544666009926,38.26987032798934,-7.000000000000001,22.0,6.0,0.5,left
0.0,,40.857157655002084,0.0,0.0,-4.999999999999999,206.0,9.0,0.3,left
1.0,4.0,44.95794656999351,45.88076290699246,45.88608837699576,-4.999999999999999,430.0,6.0,0.6,left
0.0,,49.05401082399476,0.0,0.0,-4.999999999999999,161.0,8.000000000000002,0.2,left
0.0,,53.16344891699555,0.0,0.0,-7.000000000000001,110.0,7.000000000000001,0.1,left
1.0,4.0,57.246754710999085,58.452893046996905,58.47023875199375,7.000000000000001,353.0,7.000000000000001,0.4,right
