Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
2.0,4.0,0.030323346001750906,7.000000000000001,362.0,9.0,0.3,2
1.0,4.0,5.043208499000684,-7.000000000000001,296.0,8.000000000000002,0.4,1
1.0,4.0,10.24164162300076,4.999999999999999,195.0,6.0,0.5,2
2.0,4.0,15.2098638690004,7.000000000000001,326.0,6.0,0.1,2
1.0,4.0,20.722021131001384,-7.000000000000001,25.0,6.0,0.7,1
2.0,4.0,26.194813208001506,-4.999999999999999,246.0,9.0,0.2,2
1.0,4.0,31.161481331000687,7.000000000000001,117.0,9.0,0.6,2
2.0,4.0,36.078668314001334,-7.000000000000001,395.0,6.0,0.3,2
2.0,4.0,41.11952321900026,-7.000000000000001,1.0,7.000000000000001,0.4,2
1.0,4.0,46.46603424300156,-4.999999999999999,186.0,7.000000000000001,0.5,1
2.0,4.0,51.497660656001244,4.999999999999999,197.0,8.000000000000002,0.1,2
1.0,4.0,56.9692115910002,7.000000000000001,99.0,8.000000000000002,0.7,2
2.0,4.0,61.97996888800117,7.000000000000001,321.0,8.000000000000002,0.2,2
1.0,4.0,66.88591434900081,7.000000000000001,293.0,8.000000000000002,0.6,2
1.0,4.0,71.85725822700078,7.000000000000001,49.0,9.0,0.3,2
