Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.017685156999505125,-7.000000000000001,140.0,8.000000000000002,0.4,1
1.0,1.0,4.841658612998799,7.000000000000001,308.0,8.000000000000002,0.3,1
1.0,1.0,9.31436421699982,7.000000000000001,176.0,9.0,0.1,1
1.0,4.0,13.938637373999882,-4.999999999999999,302.0,7.000000000000001,0.7,1
1.0,4.0,18.522362884999893,-7.000000000000001,88.0,8.000000000000002,0.6,1
1.0,1.0,23.03478140399966,7.000000000000001,279.0,6.0,0.2,2
1.0,4.0,27.449687485999675,7.000000000000001,412.0,6.0,0.5,2
1.0,1.0,31.89752979699915,4.999999999999999,28.0,9.0,0.4,2
1.0,1.0,36.25784477799971,7.000000000000001,280.0,6.0,0.3,2
1.0,1.0,40.721494523999354,7.000000000000001,233.0,9.0,0.1,2
1.0,4.0,45.218092178000006,4.999999999999999,239.0,8.000000000000002,0.7,2
1.0,4.0,49.73013176799941,-7.000000000000001,382.0,6.0,0.6,1
1.0,4.0,54.345553901999665,-7.000000000000001,149.0,9.0,0.2,1
1.0,4.0,59.1228202530001,-7.000000000000001,46.0,6.0,0.5,1
1.0,4.0,63.76216493500033,-7.000000000000001,124.0,7.000000000000001,0.4,1
1.0,1.0,68.41910774999997,7.000000000000001,176.0,9.0,0.3,1
1.0,1.0,73.49052697799925,-4.999999999999999,359.0,8.000000000000002,0.1,1
1.0,1.0,78.44241994000004,-4.999999999999999,244.0,8.000000000000002,0.7,1
1.0,1.0,82.99471483799971,-4.999999999999999,341.0,7.000000000000001,0.6,1
1.0,1.0,87.61872074999883,-4.999999999999999,45.0,9.0,0.2,1
