Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
0.0,4.0,0.02576950200000283,-7.000000000000001,330.0,8.000000000000002,0.2,0
2.0,4.0,7.901552867000191,7.000000000000001,180.0,9.0,0.4,0
2.0,4.0,14.949189345999912,7.000000000000001,217.0,8.000000000000002,0.3,0
2.0,4.0,21.968784767000216,4.999999999999999,373.0,6.0,0.1,0
2.0,4.0,29.07805571000017,7.000000000000001,209.0,9.0,0.5,0
1.0,4.0,36.26185737900005,-4.999999999999999,170.0,6.0,0.6,1
1.0,4.0,41.74634650999997,-7.000000000000001,114.0,8.000000000000002,0.7,1
2.0,4.0,47.177922166999906,7.000000000000001,326.0,6.0,0.2,0
2.0,4.0,54.516840956000124,7.000000000000001,99.0,8.000000000000002,0.4,0
2.0,4.0,61.89303684100014,4.999999999999999,208.0,6.0,0.3,0
2.0,4.0,69.02156577699998,7.000000000000001,360.0,9.0,0.1,0
1.0,4.0,75.97388030799993,-4.999999999999999,217.0,7.000000000000001,0.5,1
2.0,4.0,81.34624650700016,4.999999999999999,353.0,8.000000000000002,0.6,0
2.0,4.0,88.82076885000015,7.000000000000001,408.0,8.000000000000002,0.7,0
2.0,4.0,95.72314315899985,7.000000000000001,319.0,6.0,0.2,0
