Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
0.0,,0.02854410199506674,0.0,0.0,7.000000000000001,266.0,6.0,0.1,left
1.0,4.0,4.119514891994186,5.08067346799362,5.08653600398975,4.999999999999999,356.0,7.000000000000001,0.6,right
1.0,4.0,8.161287447001087,9.205156409996562,9.210428794001928,-7.000000000000001,52.0,7.000000000000001,0.7,left
0.0,,12.221858224991593,0.0,0.0,-4.999999999999999,42.0,8.000000000000002,0.2,left
1.0,3.0,16.339210010002716,18.21671771799447,18.220883372996468,7.000000000000001,185.0,7.000000000000001,0.4,right
1.0,3.0,20.381124758991064,21.90907036999124,21.915306347989826,-4.999999999999999,375.0,6.0,0.3,left
1.0,4.0,24.433219123995514,25.701158277996,25.71847321499081,-7.000000000000001,250.0,7.000000000000001,0.5,left
0.0,,28.524944488992332,0.0,0.0,7.000000000000001,269.0,9.0,0.1,left
1.0,4.0,32.67425837898918,33.763458453002386,33.76922436700261,4.999999999999999,85.0,9.0,0.6,right
1.0,4.0,36.86501321400283,37.78111442200316,37.789651660001255,-4.999999999999999,141.0,9.0,0.7,left
0.0,,40.939992970001185,0.0,0.0,7.000000000000001,150.0,7.000000000000001,0.2,left
1.0,4.0,45.09486127199489,46.02182676999655,46.03414916500333,4.999999999999999,352.0,8.000000000000002,0.4,right
0.0,,49.16111261899641,0.0,0.0,-4.999999999999999,2.0,8.000000000000002,0.3,right
1.0,4.0,53.22630259000289,54.334994802993606,54.346938479997334,-7.000000000000001,300.0,8.000000000000002,0.5,left
0.0,,57.326529951998964,0.0,0.0,4.999999999999999,6.0,7.000000000000001,0.1,left
