Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
2.0,4.0,0.02548048100015876,4.999999999999999,321.0,7.000000000000001,0.5,0
2.0,4.0,7.188435885000217,-7.000000000000001,105.0,7.000000000000001,0.2,0
2.0,4.0,14.205368141000235,7.000000000000001,269.0,7.000000000000001,0.1,0
2.0,4.0,21.41973430300004,4.999999999999999,87.0,7.000000000000001,0.4,0
1.0,4.0,28.478423397999904,7.000000000000001,13.0,6.0,0.7,2
1.0,1.0,33.883144650000304,4.999999999999999,266.0,9.0,0.3,0
1.0,4.0,41.67944455099996,-7.000000000000001,344.0,6.0,0.6,1
1.0,4.0,47.10774772900004,4.999999999999999,225.0,7.000000000000001,0.5,2
0.0,4.0,52.58829470399996,4.999999999999999,39.0,6.0,0.2,0
2.0,4.0,61.09600779600032,7.000000000000001,171.0,7.000000000000001,0.1,0
2.0,4.0,68.40602587000012,4.999999999999999,306.0,6.0,0.4,0
1.0,4.0,75.70122075600011,-4.999999999999999,413.0,8.000000000000002,0.7,1
2.0,4.0,81.07468414200002,4.999999999999999,29.0,7.000000000000001,0.3,0
2.0,4.0,88.5154355300001,-4.999999999999999,389.0,7.000000000000001,0.6,0
2.0,4.0,95.54904559100032,-4.999999999999999,126.0,8.000000000000002,0.5,0
