Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.015269196999724954,-7.000000000000001,231.0,6.0,0.3,1
1.0,4.0,4.955319320999479,7.000000000000001,284.0,7.000000000000001,0.7,2
1.0,2.0,9.745185202998982,-7.000000000000001,121.0,6.0,0.5,1
1.0,1.0,15.241903180000008,7.000000000000001,64.0,8.000000000000002,0.2,2
1.0,4.0,20.32185207799921,-7.000000000000001,265.0,9.0,0.6,1
1.0,4.0,25.041834723999273,-4.999999999999999,174.0,6.0,0.4,1
1.0,1.0,29.72901426200042,4.999999999999999,335.0,9.0,0.1,2
1.0,1.0,34.39189060100034,-7.000000000000001,203.0,7.000000000000001,0.3,1
1.0,4.0,39.07276811799966,7.000000000000001,24.0,7.000000000000001,0.7,2
1.0,4.0,43.651918059998934,-7.000000000000001,176.0,7.000000000000001,0.5,1
1.0,1.0,48.20910721399923,-4.999999999999999,97.0,9.0,0.2,2
1.0,4.0,52.7435748959997,7.000000000000001,59.0,9.0,0.6,2
1.0,4.0,57.34592805399916,4.999999999999999,241.0,6.0,0.4,2
1.0,1.0,61.969761018999634,-4.999999999999999,40.0,8.000000000000002,0.1,1
1.0,1.0,67.00112391199946,4.999999999999999,339.0,6.0,0.3,1
1.0,4.0,71.62709268099934,-4.999999999999999,87.0,7.000000000000001,0.7,1
1.0,4.0,76.14563748,-4.999999999999999,253.0,9.0,0.5,1
1.0,1.0,80.69046677500046,-7.000000000000001,321.0,7.000000000000001,0.2,2
1.0,4.0,85.22434328000054,-4.999999999999999,2.0,7.000000000000001,0.6,1
1.0,4.0,89.90498594100063,-7.000000000000001,339.0,6.0,0.4,1
