Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.0182389969995711,7.000000000000001,371.0,7.000000000000001,0.5,2
1.0,1.0,4.810728356000254,4.999999999999999,56.0,9.0,0.1,1
1.0,4.0,9.257776255000863,-7.000000000000001,66.0,7.000000000000001,0.6,1
1.0,1.0,13.842477796000821,-4.999999999999999,262.0,7.000000000000001,0.2,1
1.0,2.0,18.32225610000023,4.999999999999999,323.0,7.000000000000001,0.7,1
1.0,4.0,22.85864004299947,7.000000000000001,411.0,9.0,0.4,2
1.0,4.0,27.39437097100017,-7.000000000000001,219.0,7.000000000000001,0.3,1
1.0,4.0,31.93041783999979,4.999999999999999,26.0,9.0,0.5,2
1.0,1.0,36.458664638999835,4.999999999999999,424.0,8.000000000000002,0.1,1
1.0,4.0,41.026074973000505,7.000000000000001,65.0,9.0,0.6,2
1.0,1.0,45.77054843500082,-7.000000000000001,201.0,9.0,0.2,1
1.0,4.0,50.77067360699948,-4.999999999999999,358.0,6.0,0.7,1
1.0,1.0,55.353896114000236,-7.000000000000001,57.0,6.0,0.4,1
1.0,1.0,60.02547596899967,-4.999999999999999,423.0,6.0,0.3,1
1.0,4.0,65.28197876100057,-7.000000000000001,86.0,9.0,0.5,1
1.0,1.0,70.05028908200075,4.999999999999999,256.0,9.0,0.1,1
1.0,4.0,74.62732011499975,7.000000000000001,283.0,6.0,0.6,2
1.0,1.0,79.19428017899918,4.999999999999999,174.0,7.000000000000001,0.2,1
1.0,4.0,84.40235734899943,7.000000000000001,238.0,7.000000000000001,0.7,2
1.0,4.0,89.01827508899987,4.999999999999999,50.0,6.0,0.4,2
