Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.11085324500163551,1.2129956459975801,1.2180973780050408,4.999999999999999,151.0,9.0,0.5,right
1.0,4.0,4.180481062998297,4.986637833993882,4.992022948004887,-4.999999999999999,401.0,9.0,0.6,left
0.0,,8.251378647997626,0.0,0.0,7.000000000000001,396.0,6.0,0.2,left
1.0,4.0,12.49452992300212,13.258570717996918,13.26265953699476,4.999999999999999,273.0,6.0,0.7,right
0.0,,16.578835678999894,0.0,0.0,-4.999999999999999,419.0,8.000000000000002,0.3,right
0.0,,20.681646223994903,0.0,0.0,4.999999999999999,114.0,9.0,0.1,right
1.0,4.0,24.825998996995622,25.56742058999953,25.57571272899804,4.999999999999999,201.0,8.000000000000002,0.4,left
1.0,4.0,28.91111189300136,29.97510034700099,29.983211086000665,4.999999999999999,270.0,7.000000000000001,0.5,right
1.0,4.0,32.9763990049978,33.76290481799515,33.77126651699655,-4.999999999999999,347.0,9.0,0.6,left
0.0,,37.06074703700142,0.0,0.0,4.999999999999999,82.0,7.000000000000001,0.2,left
1.0,4.0,41.13453992600262,41.78078913400532,41.78579077600443,-4.999999999999999,317.0,9.0,0.7,left
0.0,,45.21158136399754,0.0,0.0,4.999999999999999,414.0,9.0,0.3,left
0.0,,49.47062079400348,0.0,0.0,-4.999999999999999,84.0,9.0,0.1,left
0.0,,53.571135414997116,0.0,0.0,-7.000000000000001,302.0,7.000000000000001,0.4,left
1.0,4.0,57.748843572000624,58.51485392599716,58.53208572800213,7.000000000000001,168.0,9.0,0.5,right
