Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.030499575994326733,0.8858240700064925,0.9044492190005258,-7.000000000000001,308.0,8.000000000000002,0.5,left
0.0,,4.114105319997179,0.0,0.0,-7.000000000000001,150.0,6.0,0.4,left
1.0,4.0,8.21230447999551,9.160086812000372,9.16574916600075,-7.000000000000001,200.0,8.000000000000002,0.7,left
0.0,,12.279993132993695,0.0,0.0,4.999999999999999,400.0,9.0,0.2,left
0.0,,16.365666857993347,0.0,0.0,4.999999999999999,295.0,8.000000000000002,0.3,left
0.0,,20.577650936000282,0.0,0.0,-7.000000000000001,248.0,6.0,0.1,left
1.0,4.0,24.685782836997532,25.701406142005,25.71172983899305,4.999999999999999,275.0,8.000000000000002,0.6,right
1.0,4.0,28.764908060999005,30.45715979200031,30.463707018003333,-4.999999999999999,41.0,9.0,0.5,left
0.0,,32.81977358199947,0.0,0.0,-7.000000000000001,311.0,6.0,0.4,left
1.0,4.0,36.94475615599367,37.93231727099919,37.94766645299387,4.999999999999999,9.0,7.000000000000001,0.7,right
0.0,,41.02662142799818,0.0,0.0,7.000000000000001,309.0,8.000000000000002,0.2,right
1.0,4.0,45.17152568500023,47.21403382999415,47.230238110001665,4.999999999999999,291.0,9.0,0.3,right
0.0,,49.22473247599555,0.0,0.0,-4.999999999999999,386.0,8.000000000000002,0.1,right
1.0,4.0,53.3657861899992,54.49293351000233,54.50452852800663,-4.999999999999999,195.0,9.0,0.6,left
1.0,4.0,57.41765807699994,59.0068409069936,59.01477069599787,-4.999999999999999,146.0,8.000000000000002,0.5,left
