Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.017237725000086357,7.000000000000001,183.0,8.000000000000002,0.5,2
1.0,1.0,4.601599601999624,7.000000000000001,402.0,8.000000000000002,0.3,2
1.0,4.0,9.082595437999771,-7.000000000000001,128.0,9.0,0.2,2
1.0,3.0,14.10648749199936,-7.000000000000001,211.0,9.0,0.1,1
1.0,4.0,19.546548415999496,4.999999999999999,16.0,6.0,0.7,2
1.0,4.0,24.122514328999387,7.000000000000001,179.0,7.000000000000001,0.6,2
1.0,4.0,28.619468378999954,-4.999999999999999,4.0,8.000000000000002,0.4,1
1.0,4.0,33.1790435719995,4.999999999999999,250.0,7.000000000000001,0.5,2
1.0,2.0,38.04961883999931,4.999999999999999,341.0,9.0,0.3,2
1.0,1.0,42.58571275900067,7.000000000000001,195.0,6.0,0.2,1
1.0,1.0,49.20233258400003,4.999999999999999,150.0,9.0,0.1,1
1.0,4.0,53.82681740100088,7.000000000000001,322.0,6.0,0.7,2
1.0,4.0,58.490321605000645,-7.000000000000001,242.0,8.000000000000002,0.6,1
1.0,1.0,63.17149345600046,-4.999999999999999,270.0,7.000000000000001,0.4,1
1.0,4.0,67.78701919699961,-7.000000000000001,219.0,8.000000000000002,0.5,1
1.0,1.0,72.43420117599999,-4.999999999999999,313.0,6.0,0.3,2
1.0,2.0,77.00269516499975,7.000000000000001,421.0,8.000000000000002,0.2,2
1.0,1.0,81.60267986899999,7.000000000000001,115.0,6.0,0.1,1
1.0,1.0,86.12230864599951,4.999999999999999,344.0,8.000000000000002,0.7,2
1.0,4.0,90.71488069000043,-7.000000000000001,292.0,6.0,0.6,1
