Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.030421489995205775,1.0406661979941418,1.0459855709923431,7.000000000000001,31.0,6.0,0.4,right
1.0,4.0,4.09904631099198,5.099119915990741,5.104717914990033,-4.999999999999999,81.0,8.000000000000002,0.6,left
1.0,4.0,8.133693688985659,9.05546279999544,9.068145019991789,-7.000000000000001,205.0,6.0,0.7,left
0.0,,12.197364220992313,0.0,0.0,4.999999999999999,51.0,8.000000000000002,0.2,left
0.0,,16.291094923988567,0.0,0.0,4.999999999999999,32.0,7.000000000000001,0.3,left
0.0,,20.392980311997235,0.0,0.0,-7.000000000000001,235.0,9.0,0.5,left
1.0,3.0,24.495518851996167,25.676688640000066,25.684534595988225,-7.000000000000001,379.0,8.000000000000002,0.1,left
0.0,,28.577584789993125,0.0,0.0,4.999999999999999,231.0,9.0,0.4,left
1.0,4.0,32.6653995319939,33.54702391498722,33.56173344999843,-7.000000000000001,213.0,7.000000000000001,0.6,left
1.0,4.0,36.736730745993555,37.898041504988214,37.90352470398648,7.000000000000001,154.0,9.0,0.7,right
0.0,,40.77375015898724,0.0,0.0,-7.000000000000001,405.0,6.0,0.2,right
0.0,,44.920316711999476,0.0,0.0,-4.999999999999999,207.0,6.0,0.3,right
0.0,,49.00725041299302,0.0,0.0,-7.000000000000001,80.0,8.000000000000002,0.5,right
0.0,,53.09165027398558,0.0,0.0,4.999999999999999,248.0,9.0,0.1,right
0.0,,57.21987169799104,0.0,0.0,-7.000000000000001,397.0,6.0,0.4,right
