Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.03207834500062745,0.9942015940032434,0.9985865109920269,4.999999999999999,79.0,8.000000000000002,0.7,right
0.0,,4.069729433002067,0.0,0.0,4.999999999999999,255.0,6.0,0.1,right
0.0,,8.130383569994592,0.0,0.0,-4.999999999999999,223.0,7.000000000000001,0.3,right
0.0,,12.2556450139964,0.0,0.0,7.000000000000001,361.0,8.000000000000002,0.4,right
0.0,,16.36280823800189,0.0,0.0,7.000000000000001,146.0,6.0,0.2,right
0.0,,20.472200730000623,0.0,0.0,-4.999999999999999,142.0,9.0,0.5,right
1.0,4.0,24.527113698990433,25.48222435999196,25.492575686002965,-4.999999999999999,102.0,8.000000000000002,0.6,left
1.0,4.0,28.58153112498985,29.308344734992716,29.31390342999657,4.999999999999999,125.0,8.000000000000002,0.7,right
0.0,,32.72486858199409,0.0,0.0,4.999999999999999,416.0,7.000000000000001,0.1,right
0.0,,36.82264368099277,0.0,0.0,-7.000000000000001,28.0,9.0,0.3,right
0.0,,40.931897108996054,0.0,0.0,7.000000000000001,107.0,8.000000000000002,0.4,right
0.0,,45.12345783699129,0.0,0.0,4.999999999999999,13.0,7.000000000000001,0.2,right
1.0,4.0,49.277403914995375,49.99354201499955,50.00026884999534,-7.000000000000001,250.0,9.0,0.5,left
1.0,4.0,53.3595063899993,54.198647978002555,54.202942162999534,4.999999999999999,414.0,6.0,0.6,right
1.0,4.0,57.45681342399621,58.43110508400423,58.448954257997684,4.999999999999999,123.0,6.0,0.7,right
