Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size,Opacity,Direction
1.0,4.0,0.028569682006491348,0.984663929004455,0.9964155019988539,-4.999999999999999,302.0,7.000000000000001,0.7,left
1.0,4.0,4.140783663999173,5.147260427009314,5.1541070570092415,-7.000000000000001,151.0,7.000000000000001,0.6,left
1.0,4.0,8.229647996995482,9.236321735996171,9.244830220995937,-7.000000000000001,344.0,8.000000000000002,0.4,left
0.0,,12.276125784002943,0.0,0.0,7.000000000000001,85.0,6.0,0.5,left
0.0,,16.368144111009315,0.0,0.0,7.000000000000001,120.0,8.000000000000002,0.2,left
0.0,,20.539090181002393,0.0,0.0,7.000000000000001,84.0,7.000000000000001,0.1,left
1.0,3.0,24.63664600600896,25.866230298997834,25.872708185008378,-7.000000000000001,88.0,8.000000000000002,0.3,left
1.0,3.0,28.70395487800124,29.742778940999415,29.76286766100384,-4.999999999999999,261.0,7.000000000000001,0.7,left
1.0,3.0,32.82016365900927,34.04642825899646,34.05296076000377,4.999999999999999,41.0,9.0,0.6,right
1.0,3.0,36.8600764379953,38.0207649100048,38.02598540500912,4.999999999999999,288.0,9.0,0.4,right
1.0,3.0,40.931885444006184,42.22893309200299,42.247501742007444,7.000000000000001,303.0,7.000000000000001,0.5,right
0.0,,45.03429153600882,0.0,0.0,4.999999999999999,201.0,7.000000000000001,0.2,right
0.0,,49.081039434997365,0.0,0.0,7.000000000000001,342.0,7.000000000000001,0.1,right
0.0,,53.137769963999745,0.0,0.0,-4.999999999999999,181.0,6.0,0.3,right
1.0,4.0,57.26851938200707,58.48375824300456,58.49314426400815,-4.999999999999999,265.0,8.000000000000002,0.7,left
